organisasjonsnummer,navn,adresse,postnummer,epostadresse,telefon,mobil,company_website
810926252,GRØNT MASKIN AS,"Depotgata 22, 2000 LILLESTRØM",2000,post@grontmaskin.no,69 22 53 00,,https://www.grontmaskin.no/
810969652,DDB AS,"Søndre gate 15, 7011 TRONDHEIM",7011,,98 70 85 40,,
811014982,JÆREN KRISTNE SENTER,,,benterivero@hotmail.com,46 37 92 47,986 29 638,
811025542,CHEMI TEKNIK AS,"Tvetenveien 30, 0666 OSLO",0666,,22 65 41 00,,https://www.chemi-teknik.no/
811060402,BIRDIE1 AS,"Grini Næringspark 3, 1361 ØSTERÅS",1361,ebrynild@online.no,67 14 70 40,,https://www.birdie1.no/
811102822,HAS INVESTMENT AS,"Diakonveien 7, 0370 OSLO",0370,,22 14 27 86,90133076,
811114642,JOHN DAHLE AS,"Kontinentalvegen 24, 4056 TANANGER",4056,,51 64 69 90,,https://www.john-dahle.no/
811141402,CARLA STUDIO AS,"Skomværgata 7, 3921 PORSGRUNN",3921,,35552549,,https://www.carlastudio.no/
811162582,AS GISLE GAARD,"Vollenveien 74, 1389 HEGGEDAL",1389,,,,
811167452,AS DEN NATIONALE SCENE,"Engen 1, 5011 BERGEN",5011,dns@dns.no,55 54 97 00,,https://dns.no/
811176702,SAS NORGE AS,"Henrik Ibsens vei, Teknisk Base, 2. etasje, 2060 GARDERMOEN",2060,,64 81 60 50,,https://www.sas.no/
811235482,ARNE DULSRUD AS,"Storgata 101, 2390 MOELV",2390,,,,
811251682,DYSTHEDESIGN AS,"Brekketunet 23, 1349 RYKKINN",1349,,67 13 12 10,,https://www.dysthedesign.no/
811280852,HOVLAND TREVAREFABRIKK AS,"Jærveien 1250, 4375 HELLVIK",4375,firmapost@hovlandtrevare.no,90 40 01 50,,https://www.hovlandtrevare.no/hjem
811320862,KLINGVIG AS,"Råholtgutua 12, 2070 RÅHOLT",2070,,,,
811349372,EIVIND EIVINDSON AS,"Venneslamoen 38, 4700 VENNESLA",4700,,38 15 00 20,,http://www.eivind-eivindson.no/
811410012,PER ELLINGSEN AS,"Postveien 128, 4317 SANDNES",4317,,,,
811413682,ELOPAK ASA,"Industriveien 30, 3430 SPIKKESTAD",3430,elopak@elopak.com,31 27 10 00,,
811445312,TRYGVE M ENGEBY AS,"Vestlia 15, 1169 OSLO",1169,,22 74 00 28,,
811451002,TEATERGATEN 16 AS,"c/o Tore Stokke, Olav Kyrres gate 6D, 0273 OSLO",0273,tore.stokke@hotmail.com,,991 15 246,
811480282,Edv Eriksen AS Stilmøbelverksted,"Fossegrenda 44, 7038 TRONDHEIM",7038,,73 95 10 00,,https://edvarderiksen.no/
811489972,HARALDSGATEN 168 AS,"Haraldsgata 168, 5525 HAUGESUND",5525,viggo@at-h.no,,412 15 080,
811544922,KRISTINA THOMASSEN,"Heer alle 6, 1445 DRØBAK",1445,,,,
811546402,DELA AS,"Finnemarka 11, 7603 LEVANGER",7603,prosjektpartnerlars@gmail.com,,454 06 989,
811546712,LENDING FISKERI AS,"Trovåg, 6928 KOLGROV",6928,linne.lending@enivest.net,57 78 77 52,,
811546852,SAFEBASE AS,"Havnegata 9, 7010 TRONDHEIM",7010,post@safebase.no,,,https://safebase.no/en/
811547042,ARNT-LENNART MARTINSEN,"Nedre Dalveien 12, 8430 MYRE",8430,,,,
811548022,FRØY REDERI AS,"Nordfrøyveien 213, 7260 SISTRANDA",7260,,30 10 11 01,,https://froygruppen.no/
811548472,EDEFICE AS,"Kirkehaug 8, 7656 VERDAL",7656,prosjektpartnerkarl@gmail.com,,948 77 070,
811548642,BUSY BUSY BIRD AS,"Bryggerikaien 24, 4014 STAVANGER",4014,,,,
811548812,RICH BAR HOLDING AS,"Rolighetsveien 1, 1738 BORGENHAUGEN",1738,,,,https://www.richbar.no/
811549312,STORE SKO AS,"Rathkes gate 1, 0558 OSLO",0558,storesk@online.no,,,https://www.storesko.no/en-us?srsltid=AfmBOop-QmvwX1LcOX3CvK0oEWyLaJwffLdu_-N7xvrh-6wJfG6NSLDo
811550582,CAMPUS 4 AS,"Industrivegen 34, 2069 JESSHEIM",2069,,,91630416,
811551252,DENTSIGN AS,"Ovenstadlia 33, 3420 LIERSKOGEN",3420,,,,
811551422,LINK ARKITEKTUR AB,"Lumaparksvägen 9, SE-120 31 STOCKHOLM",,,+46104799900,,
811551902,GEWAN AL MOUSA,"Kolbu Legesenter, Meierihagan 20, 2847 KOLBU",2847,,,482 69 100,
811552372,SAMEIET JUST BROCHSGATE 12 - HAMAR,"Just Brochs gate 12, 2321 HAMAR",2321,,,,
811555312,HALDEN JEGER- OG VILLMARKSKLUBB,"Ingerfjellveien 43, 1788 HALDEN",1788,stein.wilhelmsen@halden.kommune.no,,41 54 72 63,https://haldenjegerogvillmarknor.com/
811555622,AUDUN BREINES MEDIA,"Sommerland 14A, 8406 SORTLAND",8406,,,,
811555762,ØYVIND ONSØYEN,"Hølondvegen 525, 7224 MELHUS",7224,oyvonso@hotmail.com,,924 53 128,
811556092,TOINI CHRISTIN GRANUM,"Neråsvegen 9, 2825 GJØVIK",2825,,,90554711,https://www.myrdun-samtaler-mestring-og-kunnskap.com/
811556912,BØRØYA HYTTEFORENING,"c/o Dag Rune Johansen, Gamle Kongeveg Nord 20, 7609 LEVANGER",7609,,,,
811557552,PROHANDEL AS,"Bjønnmyråsen 12, 3280 TJODALYNG",3280,,,,https://prohandel.no/
811560472,DRIVENES OG HONNEMYR MASKIN DA,"v/Arne Honnemyr, Kvernhusdalen 2, 4707 VENNESLA",4707,,,,
811560782,CLAVIER CLASSICS,"Seilerhytteveien 23, 3060 SVELVIK",3060,clavierclassics@gmail.com,+31614404210,93 40 11 74,
811561592,INGRID ESKELAND,"Knosterneset 11, 5414 STORD",5414,ingrid.eskeland@sklbb.no,53 41 39 69,907 53 023,
811561762,MOY SERVICE,"Dalsfjordvegen 574, 6133 LAUVSTAD",6133,caymartinmoy@gmail.com,,913 59 550,
811561932,BRÅTABERGET HYTTEEIERFORENING,,,brataberget@gmail.com,,,
811563382,AKA TELECOM AS,"Johan Bojers vei 25D, 7021 TRONDHEIM",7021,aka@akatelecom.no,,928 12 639,
811563722,HAUGLANDSHELLA BYGG AS,"c/o Rune Pedersen, Staurdalsfjellet 14, 5310 HAUGLANDSHELLA",5310,,,,
811564222,TORGHALLEN BODØ AS,"Storgata 8, 8006 BODØ",8006,,75 54 01 20,,
811565032,BORGEN GRUPPEN AS,"Schwensens gate 7, 0170 OSLO",0170,,,,
811566462,JAKOBSNES IDRETTSLAG,"c/o Trond Magnussen, Soltunveien 39, 9911 JARFJORD",9911,jakobsnesidrettslag@hotmail.com,,908 15 199,https://www.jakobsnesidrettslagnorway.com/
811566772,VESTERÅLEN TEATER,"Møllenbakkveien 29, 8403 SORTLAND",8403,,,99259510,https://vesteralenteater.wordpress.com/
811566942,KJERSTIN ANETTE KRÅGÅ,"Olav Nergaards vei 264, 2450 RENA",2450,kak.002@c2i.net,,469 33 611,
811567132,GLADSANGEN,"Roar Bøhn, Eikeliveien 27, 3413 LIER",3413,,32 84 09 09,90096870,https://gladsangennorway.com/
811567612,KURDISK KULTURSENTER,"Julie Eges gate 18, 4306 SANDNES",4306,,,,
811568392,HØYDAL VELFERDSLAG,"c/o Toril Høydal, Dalevegen 158, 6110 AUSTEFJORDEN",6110,hoydal.vel@gmail.com,,917 69 920,
811568732,IHM P/S,"Vandtaarnvej 87, 2860 Söborg",,post@slm-revisjon.no,,,
811569062,BERGEN BILFORRETNING OMER SHEVAN OMER MOHAMMED,"Barliveien 21, 5142 FYLLINGSDALEN",5142,,,,
811569402,LIAHØIS VENNER,"Askehaugveien 150, 1407 VINTERBRO",1407,,,,https://www.liahoi.no/
811569852,FREE TO GIVE,"c/o Snorre Sunnset, Klingremoveien 90, 4877 GRIMSTAD",4877,f2give@gmail.com,,913 81 765,
811571172,IBBY ROAD IBEN AKERLIE,"Monolitveien 72, 0375 OSLO",0375,ibenmarieakerlie@gmail.com,,91713080,
811571202,NAUSTVÅGEN BÅTLAG,"c/o Atle Berge, Idrettsveien 43, 5052 BERGEN",5052,atlebberge@gmail.com,,911 06 299,
811571342,ANETTE HELEN BARSTAD,"Skarpetegvegen 25, 6012 ÅLESUND",6012,youcreate.yoga@gmail.com,,,
811571822,MARIUS OPEDAL,"Brattespevegen 19, 5773 HOVLAND",5773,marius_opedal@hotmail.com,,466 69 275,
811572012,MILJØPARTIET DE GRØNNE FREDRIKSTAD OG HVALER,"c/o Trond Løvereide, Severin Hurrøds vei 16, 1621 GRESSVIK",1621,fredrikstad@mdg.no,,906 49 559,https://fredrikstad.mdg.no/
811572292,KJELL LANGETEIG INDUSTRISERVICE,"Valumsvegen 5A, 2319 HAMAR",2319,kjell.langeteig@hotmail.com,,978 71 244,
811572322,SJØKONGEN AS,"Nyjordsveien 247, 6570 SMØLA",6570,bureiser@online.no,,950 24 267,
811572802,SAMEIET THORLEIF HAUGS VEI,"c/o Enqvist Boligforvaltning AS, Konghellegata 3, 0569 OSLO",0569,post@enqvist.no,22 80 95 95,,
811572942,HEIDIBLOMST RYGGE,"Ærfuglveien 1B, 3209 SANDEFJORD",3209,he-sven@online.no,,902 05 614,
811573272,WAL BYGG OG EIENDOM AS,"Østre Aker vei 17, 0581 OSLO",0581,post@walbe.no,,993 22 508,https://www.walbe.no/
811573302,BARANSU AS,"Stiftamtmann Kaas' vei 8, 0852 OSLO",0852,,,,https://www.baransu.nu/
811573582,BY1BIL AS,"Garnveien 7, 8520 ANKENES",8520,stian.bugge@gmail.com,,997 31 333,https://by1bil.no/
811573612,BENEDICTINERNE,"c/o Bjarne Øystein Graa, Fagernes 1, 5043 BERGEN",5043,eidsvaagkoretbenedictinerne@gmail.com,,480 45 335,
811573752,VERNER SKÅLEVIK,"Lielva 7, 5360 KOLLTVEIT",5360,verner.skaalevik@hotmail.com,,976 74 903,
811576182,ENGLUND INVEST AS,"Sveabakken 14, 7550 HOMMELVIK",7550,martin@hybelutleie.net,,906 00 526,
811576972,KOMÉT TRAFIKKSKOLE AS,"Stillverksveien 16, 2004 LILLESTRØM",2004,rune_andre87@hotmail.com,,91 37 04 83,http://komet-trafikkskole.no/
811577022,ZIRQ CABLES AS,"Linnestad Næringsområ, Ravneveien 11, 3174 REVETAL",3174,info@zirqsolutions.com,,,
811577332,VIA FLAKOLL AS,"Øvregrenda 7, 3425 REISTAD",3425,,32 84 07 58,906 42 989,
811577472,AKTIVA HW13 AS,"Lyngveien 21, 3118 TØNSBERG",3118,,,,
811577502,BRØNNØY BARNETEATER,"c/o Randi Einarsen, Engveien 4, 8900 BRØNNØYSUND",8900,raneinar@online.no,,,https://barneteater.bronnoy.no/
811577642,AK SHIPPING & CHARTERING AS,"Ullevålsveien 47A, 0171 OSLO",0171,,,,
811577812,SKJE AS,"Finnemarka 11, 7603 LEVANGER",7603,,,,
811578282,AARSTAD BYGG CONSULT AS,"Snulteren 6, 1940 BJØRKELANGEN",1940,post@aarstadbc.no,48 15 57 47,,https://www.aarstadbc.no/
811580082,BOB SAMDRIFT DA,"Bybergvegen 45, 4354 VOLL",4354,bent.byberg@lyse.net,,92097061,
811580422,BITERUD AS,"c/o Axer Eiendom AS, Bolette brygge 1, 0252 OSLO",0252,,22 03 81 00,,
811581232,GØRAN HANSEN AS,"Kapellveien 76C, 0487 OSLO",0487,mail@goeran.no,,452 39 113,
811582662,MEDIA SAUGE,"Elisenbergveien 24A, 0265 OSLO",0265,mediasauge@gmail.com,,,
811582832,SILJE BRATTESPE,"Brattespevegen 19, 5773 HOVLAND",5773,silje_bratt@hotmail.com,,986 79 611,
811583472,JORDALSBAKKEN AS,"Brekkedalen 31, 5713 VOSSESTRAND",5713,,,90864430,
811583812,BÅRDSGJERDE FRYD&LYD,"Maridalsveien 90, 0458 OSLO",0458,baardsgjerde@hotmail.com,,,
811584282,VESTFJELLI BEITELAG,"Låvi 38, 5745 AURLAND",5745,,,913 24 293,
811584762,WTS RAIL AS,"Øvre Holen 77, 6011 ÅLESUND",6011,,,,
811585092,THETA DEVELOPMENT AS,"Herman Grans vei 58B, 5162 LAKSEVÅG",5162,post@thetadev.no,,994 43 471,https://www.hadocs.com/en/
811585572,SLETTEBAKK AS,"Nedre Klasgarden 33, 6016 ÅLESUND",6016,,,,
811586412,BAKKEN VEL,"Oscars gate 9, 3725 SKIEN",3725,bakkenveistyret@gmail.com,,92055545,
811586722,SAMEIET ULVINMYRAVEGEN VEGLAG,"Ulvinmyravegen 374, 2092 MINNESUND",2092,per@kvern.no,63 96 56 98,90857225,
811587222,TOM ROGER JENSSEN,"Markvollveien 80, 8804 SANDNESSJØEN",8804,tomrog01@online.no,,481 74 790,
811587362,ARNSTEIN STORÅS FYSIOTERAPI,"Markensvegen 4, 2212 KONGSVINGER",2212,arnstein.storas@gmail.com,,482 31 154,https://osteraasklinikken.no/arnstein-storas/
811588032,DITT MALERFIRMA RESAT CITAK,"Fururabben 25, Fururabben 25, 1412 SOFIEMYR",1412,,,401 45 145,https://www.maleoppdrag.no/malere/ditt-malerfirma-resat-citak/
811588202,MUSLIM VELFERD FORENING,"Trygve Strømbergs vei 2L, 1263 OSLO",1263,,,93081965,
811589292,WILLIAMSEN HOLDING AS,"v/Kristian Williamsen, Øvre Sofustrøa 9, 7070 BOSBERG",7070,kwilli@online.no,,996 93 051,
811591122,TØMRER U. A. NILSEN,"Risnesveien 12, 8475 STRAUMSJØEN",8475,ulf.anders.nilsen@vkbb.no,,907 33 148,
811592072,EMILIJA SKARNULYTE,"Søndre Tollbodgate 17, 9008 TROMSØ",9008,olafida@gmail.com,,967 47 192,
811592692,VERFTSGATA 28 AS,"Verftsgata 28, 7800 NAMSOS",7800,,,,
811592862,FARESTVEIT COACHING,"Lilletveitåsen 6, 5228 NESTTUN",5228,camillahhf@gmail.com,,452 76 048,
811593052,CHRISTOFFER PAULSEN,"Krambugata 21, 4330 ÅLGÅRD",4330,christofferpaulsen1@hotmail.com,,942 86 151,
811593192,FIX IT EASY MARCIN ADAM KOZIOL,"Vangsvegen 501, 2322 RIDABU",2322,kozik21150@wp.pl,96 68 08 66,,
811593362,ALTERA INFRASTRUCTURE CREWING AS,"Løkkeveien 107, 4007 STAVANGER",4007,,,,https://alterainfra.com/
811593672,FLYT FORLAG AS,"Traraveien 56, 1605 FREDRIKSTAD",1605,anne@flyt.no,22 41 17 32,928 39 473,https://flytbok.no/
811594032,ULVIK BEITELAG,"Vestrheimsvegen 8, 5730 ULVIK",5730,ulvikbeitelag@gmail.com,,909 29 245,
811594172,ARNE HAUGLI AS,"Thunes vei 5, 0274 OSLO",0274,,,,https://arnehaugli.com/
811594512,FOTOGRAF ØYVIND BLOMSTERENG,"Smedstuveien 13A, 7040 TRONDHEIM",7040,,73 92 01 85,45403991,
811594652,PROFESJONELLE VERGERS INTERESSEORGANISASJON,"c/o Hans Jørgen Hægh, Tangen terrasse 61D, 1456 NESODDTANGEN",1456,hjhnorway@gmail.com,,917 17 758,https://pvi.no/
811594792,IKEA DISTRIBUSJON SERVICES S.A,,,pewir@ikea.com,,98225237,
811595942,LOTTE PIA STENFORS,"Prost Refsums veg 8B, 2005 RÆLINGEN",2005,lotteps@gmail.com,,934 32 020,
811597732,GREFSEN BOLIGSERVICE AS,"Morells vei 32A, 0487 OSLO",0487,,,,
811598542,ESPEN OLSEN SÆTERVIK,"Toftveien 74, 8909 BRØNNØYSUND",8909,espen_os@hotmail.com,,976 94 721,
811598682,INOVI MUSIC AS,"Torpfjellet 27, 1389 HEGGEDAL",1389,,,99 10 80 00,
811598992,FAVORIT AS,"Johan Feyers gate 4, 4370 EGERSUND",4370,,51 49 14 00,958 80 650,
811599492,2Ø SERVICE AS,"Ølnes, 6856 SOGNDAL",6856,,,95282496,https://oljelandet.no/bedrift/2%C3%B8-service-as
811599522,FLÅ PENSJONISTFORENING,"Voldsjordet, 3539 FLÅ",3539,gunnjoh6@online.no,32 05 02 61,90116329,
811600032,KLUBBEN NOS,"Dvergsnesbakken 20, 4639 KRISTIANSAND S",4639,,,922 12 863,https://www.klubben.no/
811600202,STOREBOTN 17 AS,"Storebotn 17, 5309 KLEPPESTØ",5309,,,,
811600792,ELTERA AS,"Haslevollen 3, 0579 OSLO",0579,post@eltera.no,,902 05 390,https://eltera.no/
811602892,ØSTFOLD PLASSOPPMERKING AS,"Gneisveien 18, 1784 HALDEN",1784,,,924 99 002,
811602922,MÅNDALEN INDREMISJON,"Bruasetvegen 30, 6386 MÅNDALEN",6386,elsaogleifa@yahoo.no,71 22 36 07,936 74 146,https://www.mondalenindremisjonnorway.com/
811603112,KPIN - ORGANISASJON FOR KOREANSK POPKULTUR I NORGE,,,informasjon@kpin.no,,994 20 752,https://kpin.no/omona/om-omona/
811604062,LØDINGEN PADLEKLUBB,"c/o Tom Slettbakk, Idrettsvegen 10, 8410 LØDINGEN",8410,folkikajakk@gmail.com,,905 71 151,
811604542,ALF AS,"Skrubbmoen 12, 3619 SKOLLENBORG",3619,,,,
811604712,FAST UTVIKLING AS,"Bergelandsgata 14, 4012 STAVANGER",4012,,,,
811604992,MONA HAUG,"Toppveien 2, 3514 HØNEFOSS",3514,,32 13 06 24,41456718,
811605212,AA-TVERRELVA KRAFT AS,"c/o Forte Vannkraft AS, Rådhusgata 17, 0158 OSLO",0158,vibeke.solum@fortevannkraft.no,22 86 55 00,950 31 733,
811605352,KLAUVA KRAFT AS,"c/o Forte Vannkraft AS, Rådhusgata 17, 0158 OSLO",0158,obos@obos.no,22 86 55 00,,
811606472,ENTREPRENADREPARATIONER I ÖREBRO AB,"Gamla Vägen 3, SE-702 27 ÖREBRO",,,,,
811607002,ACEA DEVELOPMENT AS,"c/o Acea Properties AS, Sjøgata 3, 8006 BODØ",8006,,,,
811608602,UNDERSTELLSERVICE AS,"Østerøyveien 31, 3236 SANDEFJORD",3236,,,,https://www.understellservice.no/
811609072,BÅRDAR WEST COAST SWING CLUB,"Rosenkrantz' gate 22, 0160 OSLO",0160,baardarwcs@gmail.com,22 20 90 10,,https://bordarwestcoastswingclubnorway.com/
811610402,KATTNAKKEN AS,"Vabakkjen 6, 5411 STORD",5411,,48 33 97 13,,https://kattnakken.no/?srsltid=AfmBOoqH4VixCGbSVTjMEnyLIQKkZ6Iix_NsIEzjCM4nh-fMd228QKmA
811610712,MIN JORDMOR DA,"Elvegata 45, 2003 LILLESTRØM",2003,lise@braanes.com,95 13 11 12,977 63 632,
811611212,LESJA BARNEKOR,"Kyrkjevegen 11, 2665 LESJA",2665,trude.tokle@yahoo.no,,952 52 362,https://www.lesjabarnekornorway.com/
811611972,PD&MS ENERGY (ABERDEEN) LIMITED,"PD&MS Group Ardent West, North Esplanade West, ABERDENN AB11 5QH SCOTLAND",,,,,https://www.pdms-group.com/
811612022,PD&MS ENERGY (AMERDEEN) LIMITED,"PD&MS Group Ardent West, North Esplanade West, ABERDEEN AB11 5QH SCOTLAND",,,+440122428900,,
811612162,ROCKSTRÖMS MONTAGE,,,,,,
811612472,EGIL ARNE STRØM,"Grytesvegen 631, 7620 SKOGN",7620,,,,
811612502,AGRO MASKINENTREPRENAD S. STÅLHAMMAR,"Kvarkhult 1, SE-341 55 VITTARYD",,ti.roger@telia.com,+4637045121,+4670692703,
811613932,AXELAR AS,"Langgata 42, 4306 SANDNES",4306,,,,
811615412,SILVER BYGG & MONTASJE AS,"Sarpsborgveien 147, 1640 RÅDE",1640,martin.manicki@gmail.com,,968 79 574,
811615552,ASKØY KOMMUNE KULTUR OG IDRETT,"Klampavikvegen 1, 5300 KLEPPESTØ",5300,,,,https://askoy.kommune.no/tjenester/kultur-idrett-og-fritid
811616362,VEST MARKISE AS,"Lønningsflaten 32F, 5258 BLOMSTERDALEN",5258,post@vestmarkise.no,55 91 77 71,41285160,https://vestmarkise.no/
811618292,HØGNI KOMPETANSE ARASON,"Solveien 2, 3517 HØNEFOSS",3517,klippur@gmail.com,,977 98 025,
811618772,KEISER RESTAURANT AS,"Hamnegata 11, 5411 STORD",5411,,,,
811620122,UTEPLASSEN.NO AS,"Stabburveien 7, 1617 FREDRIKSTAD",1617,,,,https://www.uteplassen.no/
811620432,PEACE BY PIECE,"c/o Sheraz Ahmed Malik, Engstien 5, 1466 STRØMMEN",1466,sherazmalik@hotmail.no,,400 69 786,
811620882,MILJØSTEIN NORGE AS,"Sørbyveien 928, 3178 VÅLE",3178,,,,https://miljostein.no/?srsltid=AfmBOor1POtcpAbqtLxhAo4tR6c79_WPKx9jIloQFlyH4tbaAHxmJnfJ
811621382,CHRISTIANO INVEST AS,"Lerstadvegen 517, 6018 ÅLESUND",6018,,,,
811621862,EPLEMOS AS,"c/o Anders Abrahamsen, Risløkkveien 23E, 0580 OSLO",0580,,,,
811623202,LAGRE MINILAGER AS,"Kirkegata 8, 1767 HALDEN",1767,post@lagre.no,80 08 00 08,,https://lagre.no/
811624632,DE ELIGERTE MENN,"Orknøygata 21, 4009 STAVANGER",4009,ftunge@gmail.com,,41 17 17 00,
811624942,LIND SPORT,"Gimleveien 18, 5052 BERGEN",5052,,,,
811625132,COOPERAR.IO AS,"c/o Sigma ITM Norway AS, Biskop Gunnerus Gate 14, 0185 OSLO",0185,,,,
811625442,BOLIGSAMEIET LANGVOLDEN,"Koefoedgeilan 12, 7018 TRONDHEIM",7018,bente@eide-egeland.no,,41678084,
811625582,TERØY VEL,"Terøy, Solheimsvegen 16, 6280 SØVIK",6280,,,,
811625612,TONES CAFÉDRIFT AS,"Folke Bernadottes vei 52, 5147 FYLLINGSDALEN",5147,,,,https://www.sydvesten.no/derdubor/M80399/
811625922,MEDIESENTERETS SOSIALE REVOLUSJON (MSSR),"c/o NHH  Mediesenteret, Helleveien 30, 5045 BERGEN",5045,,,,
811626562,TORNEROSE BIO AS,"c/o Berit Bjugan Aam, Hoelveien 1, 1423 SKI",1423,berit.aam@biochos.com,,918 66 719,
811629642,SJØLI TAXI - ALLTID KJØRBAR.,"Kongsvingervegen 224, 2100 SKARNES",2100,jasjoel1@hotmail.com,,928 66 419,
811630012,BOLIGLAGET KVILE,"Eidsvågskogen 10, 5101 EIDSVÅGNESET",5101,,,,
811630292,TOCIRCLE PRODUCTIONS AS,"c/o Nikolai Slettebø, Toppåsveien 28B, 1352 KOLSÅS",1352,,,,https://tocircle.com/
811630322,MOBILITY DOCK AS,"Luramyrveien 29, 4313 SANDNES",4313,post@bluelogic.no,91 00 69 50,,
811630632,FORENINGEN TINGHUSKORET,"C. J. Hambros plass 4, 0164 OSLO",0164,,,,
811632082,NEXER ASSET MANAGEMENT AS,"c/o Ecitintunor Services AS, avd. Jessheim, Industrivegen 22, 2069 JESSHEIM",2069,kundreskontrasweden@nexergroup.com,,,
811632112,OÜ V8,"Pärna 2-31, EE-50601 TARTU",,,,,
811632562,GAPPAY NORGE LINDAHL,"Husebyveien 55, 1623 GRESSVIK",1623,,,41 40 70 96,
811633062,NORDÅS BILDER,"Håndverkervegen 3, 2624 LILLEHAMMER",2624,oysteinnordas@gmail.com,,957 02 237,
811633402,TEMP-TEAM,"Hauser Plads 20, 5. sal, DK - 1127 KØBENHAVN K",,,,,
